,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_loss_weight_factor,params_num_layers,params_weight_decay,state
29,29,0.45089620060642505,2025-07-03 13:04:28.117519,2025-07-03 13:04:28.738388,0 days 00:00:00.620869,128,0.3835428565421283,128,0.003335685021498731,5.495341705561673,1,0.00017479526105162159,PRUNED
30,30,0.7540354218783825,2025-07-03 13:04:28.738757,2025-07-03 13:04:30.359266,0 days 00:00:01.620509,64,0.3638043337318149,128,0.0050623652992972555,4.189469294075395,2,9.004266508066817e-05,PRUNED
31,31,0.022522268014400187,2025-07-03 13:04:30.359623,2025-07-03 13:05:02.710916,0 days 00:00:32.351293,64,0.24270420248212898,256,0.002007961440437453,2.6350059491064015,1,5.460088746363001e-05,COMPLETE
32,32,0.016649535271006852,2025-07-03 13:05:02.711630,2025-07-03 13:05:35.580727,0 days 00:00:32.869097,64,0.3022927588173625,256,0.0020876568440257866,2.778134238712102,1,0.0001877575371496073,COMPLETE
33,33,0.7758606880943681,2025-07-03 13:05:35.581805,2025-07-03 13:05:36.698860,0 days 00:00:01.117055,64,0.2643091832900074,256,0.009812670467390554,2.7624591703262684,1,0.0001983517914144036,PRUNED
34,34,0.018585933458307703,2025-07-03 13:05:36.699261,2025-07-03 13:05:57.907845,0 days 00:00:21.208584,64,0.2959065879451293,256,0.0026275092294165904,3.6383809139395433,1,0.00036187918367057946,COMPLETE
35,35,0.06655234611988714,2025-07-03 13:05:57.908440,2025-07-03 13:06:01.689159,0 days 00:00:03.780719,64,0.2990490988206207,256,0.0020866505971748337,3.721868507325862,1,0.00040842867972829916,PRUNED
36,36,1.399559519831167,2025-07-03 13:06:01.689539,2025-07-03 13:06:02.079161,0 days 00:00:00.389622,128,0.3380837998796282,256,0.0024408192790153103,4.915038651695372,1,0.00037378117270251023,PRUNED
37,37,0.34966731298711085,2025-07-03 13:06:02.079503,2025-07-03 13:06:02.647105,0 days 00:00:00.567602,64,0.35912507253909776,64,0.0011958857761555158,3.6447179952718463,1,0.0006334055335435718,PRUNED
38,38,0.00946637866462567,2025-07-03 13:06:02.647419,2025-07-03 13:06:37.498405,0 days 00:00:34.850986,32,0.31269557557385824,256,0.004643019067007569,2.37293149364333,1,0.0002870998475099406,COMPLETE
39,39,0.3694748585712635,2025-07-03 13:06:37.499206,2025-07-03 13:06:37.898530,0 days 00:00:00.399324,128,0.3099444661791638,256,0.004941719675932499,6.492696599342944,1,0.00025366704411289634,PRUNED
40,40,0.2513677577110288,2025-07-03 13:06:37.898889,2025-07-03 13:06:43.202583,0 days 00:00:05.303694,64,0.36636241679336046,256,0.003028990760415384,2.6669495317751997,3,0.00030689767892568443,PRUNED
41,41,0.015766035582256734,2025-07-03 13:06:43.203025,2025-07-03 13:07:21.113809,0 days 00:00:37.910784,32,0.2902370029866815,256,0.0015727726610066965,2.4327395608705986,1,0.0005753052386336285,COMPLETE
42,42,0.014443539630171805,2025-07-03 13:07:21.114364,2025-07-03 13:07:55.967322,0 days 00:00:34.852958,32,0.29232815923020916,256,0.0015637800177528403,2.2973761621376676,1,0.0005854193874725296,COMPLETE
43,43,0.017663535737499514,2025-07-03 13:07:55.967893,2025-07-03 13:08:31.125112,0 days 00:00:35.157219,32,0.2908005644300189,256,0.0009364148921637051,2.282636510576869,1,0.000590977686564608,COMPLETE
44,44,0.08280604478765376,2025-07-03 13:08:31.126722,2025-07-03 13:08:34.662412,0 days 00:00:03.535690,32,0.2798613716912571,256,0.0007911386695652919,2.2608387853343013,1,0.0005959843052963456,PRUNED
45,45,0.019586337753890633,2025-07-03 13:08:34.662749,2025-07-03 13:09:09.681374,0 days 00:00:35.018625,32,0.3140860533921618,256,0.0009353523374739264,2.1237237328333913,1,0.00025214435917094986,COMPLETE
46,46,0.2036350885433937,2025-07-03 13:09:09.681900,2025-07-03 13:09:10.878153,0 days 00:00:01.196253,32,0.2863462549446569,256,0.0047510115103146155,11.049131235442825,1,0.0009233071919300342,PRUNED
47,47,0.24641057842864758,2025-07-03 13:09:10.878457,2025-07-03 13:09:12.071659,0 days 00:00:01.193202,32,0.30377132968889886,256,0.001614875506590925,4.861683284486247,1,0.0005791055129292889,PRUNED
48,48,0.21353117468055424,2025-07-03 13:09:12.072086,2025-07-03 13:09:13.902998,0 days 00:00:01.830912,32,0.32095767947319015,256,0.0005818143188247508,3.9947571876205608,2,0.0004951737373843556,PRUNED
49,49,0.2995360424208835,2025-07-03 13:09:13.903293,2025-07-03 13:09:15.088594,0 days 00:00:01.185301,32,0.253409391600013,256,0.007059589728237227,7.733262341203329,1,0.0007334621042051073,PRUNED
